from,to,relationship,year
fb,fb,3,2017
fb,au_eu,2,2013
fb,au_fsfj,2,2013
fb,au_au,2,2013
fb,ave_ev,3,2013
fb,bs_s,6,
fb,bu_wk,1,2021
fb,bus_mk,4,2017
fb,unico,7,2004
fb,df_ag,2,2017
fb,df_pv,2,2017
fb,df_fi_ev,3,2017
fb,eub_ev,3,2017
fb,eup,2,2009
fb,eu_cfr,3,2017
fb,foe,3,2017
fb,gj,2,1997
fb,gj_bw,2,1996
fb,hia_ev,3,2017
fb,iepp,7,2004
fb,iep_ev,3,2017
fb,jdc,4,2017
fb,pa_cov,2,2017
fb,st_co,6,2006
fb,un_dfw,3,2017
fb,tuwas_s,3,2017
fb,un_cow,2,2000
fb,un_dfw,2,
fb,unima,6,2010
fb,unima,7,2010
fb,uau_zkk,2,2017
fb,v_dfg_ev,3,2017
fb,zifg,4,2017
ft,3_ua,2,2017
ft,aeltr,2,2017
ft,ass,4,2018
ft,au_ih,2,2017
ft,au_wig,2,2017
ft,bu_fi,1,2021
ft,unica,7,2002
ft,uniek,7,2012
ft,fdp_bw,2,2011
ft,fdp_bv_s,2,2003
ft,fdp_kv,2,2008
ft,f_au,2,2017
ft,fmg,2,2005
ft,llp,6,2014
ft,fn_s,5,2001
ft,g_au,2,2017
ft,gsl_ev,3,
ft,ha_au,2,2009
ft,juli_bw,2,2003
ft,kfw,3,2019
ft,kr_lkb,2,2009
ft,la_au_bw,2,2011
ft,rw_au,2,2020
ft,s_ve_ev,3,
ft,unih,7,2003
ft,unire,7,2000
ft,vm_au,2,2017
ft,wa_au,2,2017
rss,unial,3,
rss,unial,7,1983
rss,ag_sfk,2,1999
rss,bu_unns,1,2013
rss,dbu,3,
rss,eu_ee,3,
rss,gvfd_ev,3,
rss,gl,2,1999
rss,gsl_grs,4,
rss,h_ev,3,
rss,krz,6,1992
rss,kfw,3,
rss,kt_lkw,3,
rss,lavo_spd,2,2007
rss,rhb,2,2005
rss,kv_spd,2,2001
rss,unizu,7,1983
rss,wif_ev,3,
tl,ag_og,3,2013
tl,au_am,1,2021
tl,bu_im,2,2017
tl,dg_pwk_ev,3,2017
tl,dk_pg,2,2013
tl,dik_ev,3,2013
tl,fk_ev,3,2017
tl,geu_ev,3,2013
tl,ha_ko,2,2013
tl,kift,6,2007
tl,kv_g,2,2002
tl,lavo_gj,2,1999
tl,pav_nt,2,2017
tl,rp_au,2,2013
tl,lgg,2,2011
tl,sdtr_wo,2,2004
tl,unika,7,2002
tl,vt_au,2,2013
tl,vg,2,2017
tl,wi_au,2,2012
bs,ai,3,2011
bs,au_ih,2,2017
bs,bu_ju,1,2021
bs,bu_co,3,2018
bs,fdp_dvp,2,2014
bs,gb,2,2018
bs,lavo_juli,2,2010
bs,lavo_fdp,2,2013
bs,lg_s,7,2012
bs,lk_r,2,2018
bs,uniko,7,2006
bs,uau ,2,2017
bs,zos_ev,3,2018
co,sefep,3,2017
co,ajc_ev,3,2013
co,au_vdi,2,2018
co,avs_ev,3,2013
co,bu_el,1,2021
co,bnd_mw_ev,3,2013
co,dt_f_s,3,2013
co,dsi,3,2017
co,eup,2,2004
co,ev_sw,7,1994
co,fcpf_ev,3,2017
co,gmf_us,3,2003
co,gsl_ev,3,2017
co,g_bw,2,1998
co,hb_s_ev,3,2017
co,ikw_ev,3,2013
co,imu,4,2017
co,iffs_eu,4,2017
co,ipww,3,
co,st_s,3,2017
co,s_gf,3,2017
co,s_nv_ev,3,2013
co,s_b,3,2017
co,theu_s,3,2013
co,tds_ev,3,2013
co,ulli,6,2017
co,wgw_ev,3,
co,zdf,4,2013
mat,lavo_fdp,2,1991
mat,fdp_kf,2,1999
mat,lt_bw,2,2001
mat,fdp_bv ,2,2003
mat,fdp_dvp,2,2006
mat,eup,2,2009
mat,ha_ko,2,2011
mat,fdp_bf,2,2017
mat,vvrn,3,2004
mat,rm_s,3,2004
mat,theu_s,3,2004
mat,wd_s,3,2004
mat,dhbw,3,2004
mat,rm_s,6,1990
mat,ghn,6,1995
ck,bu_unns,1,2021
ck,kvo_dg,2,2002
ck,lavo_dg,2,2007
ck,lavo_swg,2,2009
ck,k_au_bw,2,2011
ck,au_km,2,2013
ck,au_vdi,2,2013
ck,au_km,2,2013
ck,ha_au,2,2017
ck,au_rv,2,2017
ck,au_bwsk,2,2017
ck,deneff_ev,3,2017
ck,prs_ev,3,2017
ck,vw_ev,3,2017
ck,bus_b,3,2017
ck,swr,4,2013
ck,bnd_wh,6,
ck,uniek,7,2009
jb,bu_bf,1,2021
jb,juli_bw,2,2010
jb,ek_bb,2,2017
jb,au_bft,2,2017
jb,au_fsfj,2,2017
jb,bus_mh,3,2018
jb,da_s,3,2019
jb,dsw_ev,3,2017
jb,lisl_ev,3,2017
jb,vph_ev,3,2017
jb,bcg,6,
jb,l_hs,7,2002
jb,unima,7,2005